Turf Name,Location,Landmark,Price Per Hour,Rating,Number of Reviews,Open Time,Close Time,Available on Weekend,Turf Type,Amenities,Contact Number,Latitude,Longitude,Maintenance Issues (days/month),Last-Minute Cancellations/week,Year,Users Per Year
"Valenzuela, Smith and Prince Turf",Ambattur,Near XYZ Mall,1014,3.8,130,06:00,21:00,Yes,7‑a‑side,"Washroom, Canteen, Parking, Changing Room",7509261848,13.149927,80.081597,4,6,2022,2935
"Stewart, Murphy and Hunter Turf",Kodambakkam,Opposite Main Bus Stop,1068,5.0,47,06:00,20:00,Yes,5‑a‑side,"Parking, Canteen, Washroom, Changing Room",+1-351-904-4064x4038,13.068299,80.105057,2,2,2022,1100
"Orozco, Mcbride and Wilkerson Turf",Porur,Opposite Main Bus Stop,1044,3.3,109,07:00,22:00,No,Futsal,"Changing Room, Canteen, Floodlights",386.225.2055,13.157844,80.221862,4,2,2022,2863
Allen-Sherman Turf,Velachery,Beside Metro Station,858,4.9,96,08:00,23:00,Yes,7‑a‑side,"Floodlights, Canteen, Parking, Changing Room",001-789-907-5603x89302,13.161191,80.174878,0,7,2022,2561
Wright PLC Turf,Velachery,Close to Railway Station,746,4.8,103,08:00,20:00,No,Futsal,"Floodlights, Parking",513.211.6406,13.094341,80.286182,1,4,2022,741
Hamilton-Wright Turf,Porur,Close to Railway Station,867,4.8,146,07:00,23:00,Yes,7‑a‑side,"Canteen, Parking, Floodlights",+1-227-868-9509x199,13.040527,80.034788,3,3,2022,2541
Moore LLC Turf,Medavakkam,Close to Railway Station,482,4.6,132,05:00,21:00,No,Futsal,"Parking, Changing Room",(859)552-2021,13.107921,80.123029,0,7,2022,3324
"Esparza, Thomas and Lee Turf",Medavakkam,Beside Metro Station,790,3.4,39,06:00,20:00,Yes,Futsal,"Washroom, Changing Room, Parking, Canteen",001-364-324-6446,13.168261,80.159156,3,5,2022,3112
Manning Inc Turf,OMR,Near XYZ Mall,795,2.9,133,05:00,21:00,Yes,5‑a‑side,"Floodlights, Parking",969.670.0807x77605,13.065469,80.273895,1,1,2022,1863
"Powers, Rodriguez and Pierce Turf",Chromepet,Beside Metro Station,1077,4.7,52,05:00,20:00,Yes,5‑a‑side,"Parking, Floodlights, Canteen",565-997-1744,13.065152,80.083491,1,3,2022,1978
Webb Group Turf,Porur,Near XYZ Mall,842,4.1,67,07:00,21:00,Yes,5‑a‑side,"Canteen, Washroom, Floodlights, Changing Room",8296264999,13.077513,80.265081,0,3,2022,3056
Haney and Sons Turf,T Nagar,Near XYZ Mall,1063,3.1,135,07:00,20:00,No,7‑a‑side,"Canteen, Parking, Washroom",948.454.2035x26375,13.184984,80.018637,1,5,2022,1275
Simpson Ltd Turf,Perungudi,Close to Railway Station,923,3.8,130,06:00,21:00,Yes,6‑a‑side,"Washroom, Canteen",277.208.7259x574,13.139537,80.155915,4,5,2022,4514
"Miller, Garner and Carter Turf",Kodambakkam,Beside Metro Station,1090,3.0,79,06:00,23:00,No,Futsal,"Changing Room, Canteen, Parking",899.637.1568,13.191283,80.260812,1,0,2022,534
Green-Haynes Turf,Mylapore,Opposite Main Bus Stop,940,2.5,10,07:00,21:00,Yes,5‑a‑side,"Washroom, Canteen, Parking, Floodlights",001-201-465-5141x7672,13.094484,80.097401,3,7,2022,3652
Le and Sons Turf,T Nagar,Beside Metro Station,1059,3.8,146,05:00,20:00,Yes,5‑a‑side,"Washroom, Canteen, Floodlights, Parking",+1-275-824-1577x9644,13.104894,80.284227,3,5,2022,2455
Dunn-Hurst Turf,Velachery,Beside Metro Station,777,4.2,92,08:00,22:00,No,7‑a‑side,"Changing Room, Floodlights",622-354-6382,13.16682,80.102102,3,2,2022,2085
Allen-Esparza Turf,Kilpauk,Close to Railway Station,619,4.9,148,05:00,22:00,Yes,6‑a‑side,"Washroom, Parking, Changing Room, Canteen",001-798-631-4145x061,13.190085,80.266416,3,8,2022,4443
Gutierrez-Patterson Turf,Pallavaram,Opposite Main Bus Stop,1014,3.3,50,08:00,21:00,Yes,7‑a‑side,"Canteen, Washroom",001-657-732-7248x6462,13.056161,80.038067,4,1,2022,3573
Wilson-Sanchez Turf,Adyar,Near XYZ Mall,991,3.4,66,05:00,22:00,No,7‑a‑side,"Parking, Canteen",353-936-7429x204,13.158979,80.085336,2,7,2022,1521
Holland-Foster Turf,Anna Nagar,Next to ABC Park,1005,4.0,93,07:00,21:00,Yes,Futsal,"Canteen, Washroom",292-569-6390,13.07828,80.186346,0,9,2022,3961
Flynn-Stewart Turf,OMR,Close to Railway Station,1197,4.0,27,05:00,20:00,No,7‑a‑side,"Floodlights, Canteen, Changing Room",771-648-0840x584,13.012708,80.099784,3,2,2022,3113
"Carter, Lopez and Lee Turf",Chromepet,Close to Railway Station,921,4.2,66,07:00,20:00,No,5‑a‑side,"Floodlights, Washroom",368.536.7968x0976,13.106793,80.025797,1,4,2022,4343
"Hunt, Clark and Roman Turf",Nungambakkam,Beside Metro Station,768,3.5,45,07:00,22:00,No,Futsal,"Washroom, Canteen, Floodlights",001-378-428-9509x2084,13.122104,80.24107,3,5,2022,2000
Banks and Sons Turf,T Nagar,Near XYZ Mall,808,4.1,18,05:00,22:00,Yes,7‑a‑side,"Parking, Floodlights, Canteen",(934)409-5344,13.066414,80.208804,1,9,2022,661
Figueroa-Holmes Turf,Tambaram,Near XYZ Mall,368,4.1,62,06:00,22:00,No,Futsal,"Floodlights, Parking, Washroom, Canteen",+1-727-388-2255x84241,13.08596,80.073391,1,5,2022,4797
"Young, Copeland and Holt Turf",Nungambakkam,Next to ABC Park,371,4.6,118,07:00,21:00,Yes,7‑a‑side,"Washroom, Changing Room",490-213-1962x953,13.149374,80.119881,3,3,2022,2481
Barrera-Hall Turf,Pallavaram,Near XYZ Mall,801,4.0,107,07:00,20:00,Yes,Futsal,"Floodlights, Changing Room",+1-273-355-1772x346,13.113484,80.22367,4,2,2022,1495
Rangel PLC Turf,Medavakkam,Beside Metro Station,499,3.7,97,06:00,20:00,No,Futsal,"Washroom, Changing Room",001-268-258-4174x1229,13.14469,80.061756,1,3,2022,3842
"Hogan, Wagner and Jensen Turf",Kodambakkam,Close to Railway Station,690,4.3,44,05:00,23:00,Yes,7‑a‑side,"Canteen, Changing Room, Washroom",(916)622-2271x0113,13.122177,80.00554,1,0,2022,4298
"Gibson, Taylor and Cox Turf",Pallavaram,Near XYZ Mall,488,4.1,132,07:00,22:00,No,Futsal,"Washroom, Parking, Floodlights, Canteen",531-433-3681,13.03978,80.288117,3,3,2022,1775
Hamilton-Warner Turf,T Nagar,Close to Railway Station,731,4.4,55,05:00,21:00,No,Futsal,"Parking, Canteen, Floodlights, Washroom",694-704-8347,13.166172,80.009772,1,0,2022,1516
Nolan-Morton Turf,Tambaram,Near XYZ Mall,354,4.2,115,07:00,23:00,Yes,6‑a‑side,"Changing Room, Washroom, Parking, Canteen",224-426-2496,13.047242,80.216392,1,0,2022,837
Duncan-Landry Turf,Medavakkam,Next to ABC Park,996,4.7,127,06:00,20:00,No,6‑a‑side,"Parking, Washroom, Floodlights",579.525.7254x186,13.131983,80.207217,3,9,2022,1378
"Kelly, Hutchinson and Greene Turf",Pallavaram,Near XYZ Mall,799,4.5,43,06:00,20:00,Yes,7‑a‑side,"Changing Room, Floodlights, Parking, Canteen",536-498-8066,13.128638,80.020849,3,5,2022,1576
Chavez-Hunt Turf,Anna Nagar,Next to ABC Park,878,3.7,136,06:00,21:00,Yes,5‑a‑side,"Floodlights, Parking, Canteen, Washroom",-9482,13.088596,80.144756,0,4,2022,4493
Rodriguez Inc Turf,Pallavaram,Near XYZ Mall,526,4.7,2,05:00,21:00,No,7‑a‑side,"Parking, Washroom",824-626-4015x7160,13.140496,80.264206,4,3,2022,879
Payne-Reed Turf,Adyar,Next to ABC Park,477,3.4,103,08:00,22:00,Yes,6‑a‑side,"Floodlights, Canteen, Changing Room, Washroom",(516)968-7834,13.045303,80.171187,4,2,2022,992
Hood PLC Turf,Mylapore,Near XYZ Mall,977,4.0,17,07:00,23:00,No,Futsal,"Parking, Floodlights, Changing Room",356.656.2853x296,13.132376,80.117748,1,0,2022,2562
Castillo-Lin Turf,Mylapore,Beside Metro Station,344,2.5,142,08:00,22:00,No,6‑a‑side,"Washroom, Canteen, Parking, Floodlights",001-254-620-0590x626,13.194316,80.240522,4,5,2022,4384
Villanueva-French Turf,T Nagar,Near XYZ Mall,996,3.3,150,07:00,23:00,Yes,6‑a‑side,"Changing Room, Parking",001-427-799-5344x729,13.051709,80.196847,1,1,2022,564
Murphy PLC Turf,Pallavaram,Close to Railway Station,1149,4.1,47,07:00,22:00,No,6‑a‑side,"Floodlights, Canteen, Washroom, Parking",(931)310-7164x68570,13.183227,80.097915,0,7,2022,3068
Salinas-Garcia Turf,Mylapore,Close to Railway Station,455,4.3,75,06:00,23:00,Yes,6‑a‑side,"Floodlights, Canteen",001-442-396-2813,13.077513,80.183433,3,9,2022,2527
"Quinn, Martinez and Mccall Turf",Anna Nagar,Close to Railway Station,1151,2.5,125,05:00,22:00,No,Futsal,"Washroom, Canteen, Changing Room",877-309-3232x5747,13.185828,80.166601,3,4,2022,3195
"Daniels, Gonzales and Hopkins Turf",Medavakkam,Beside Metro Station,318,2.9,78,07:00,22:00,No,6‑a‑side,"Washroom, Changing Room",9277643408,13.03163,80.230856,3,6,2022,1995
"Serrano, Rodriguez and Burton Turf",OMR,Close to Railway Station,360,3.4,18,08:00,22:00,No,7‑a‑side,"Washroom, Canteen, Changing Room",3197896092,13.160779,80.181529,4,9,2022,891
"Weeks, Robinson and Stewart Turf",Mylapore,Next to ABC Park,781,4.8,131,05:00,20:00,Yes,Futsal,"Canteen, Washroom, Floodlights",-9842,13.170391,80.27659,0,1,2022,4974
Diaz PLC Turf,Kodambakkam,Near XYZ Mall,442,4.8,7,06:00,21:00,Yes,7‑a‑side,"Parking, Washroom, Floodlights, Changing Room",001-565-860-2379x0892,13.143595,80.162147,4,7,2022,4061
Mcbride Group Turf,Tambaram,Next to ABC Park,1043,3.2,134,06:00,23:00,No,5‑a‑side,"Changing Room, Canteen, Parking, Floodlights",492.578.7521x3287,13.017087,80.295933,4,1,2022,2778
Smith-Davis Turf,Mylapore,Close to Railway Station,508,3.3,58,05:00,22:00,No,6‑a‑side,"Changing Room, Floodlights, Canteen, Washroom",667.952.3491x100,13.164972,80.045948,0,3,2022,3599
"Morrison, Taylor and Allen Turf",Kilpauk,Opposite Main Bus Stop,1034,3.5,121,07:00,20:00,No,Futsal,"Floodlights, Washroom",+1-525-200-4085x770,13.017984,80.014825,0,0,2022,700
Ward-Wilkins Turf,Perungudi,Opposite Main Bus Stop,313,4.6,124,07:00,23:00,Yes,7‑a‑side,"Changing Room, Washroom, Parking, Floodlights",001-264-817-2740,13.046596,80.005448,0,4,2022,3604
Dunn-Rios Turf,OMR,Close to Railway Station,793,2.8,110,05:00,23:00,No,7‑a‑side,"Canteen, Changing Room",834.258.4069,13.175954,80.227145,0,8,2022,2954
"Aguirre, Ross and Wright Turf",Guindy,Close to Railway Station,618,3.1,87,05:00,21:00,Yes,7‑a‑side,"Washroom, Canteen, Changing Room",+1-884-788-2572x816,13.057466,80.183128,3,0,2022,4145
Dean-Powers Turf,Ambattur,Opposite Main Bus Stop,784,4.4,80,08:00,22:00,No,Futsal,"Floodlights, Parking, Changing Room",507-318-9820x572,13.192055,80.148743,2,8,2022,1304
"Avila, Taylor and Young Turf",Nungambakkam,Close to Railway Station,310,4.5,23,05:00,23:00,Yes,7‑a‑side,"Parking, Canteen, Floodlights",678-590-2079,13.157901,80.243137,2,7,2022,3231
"Williams, Baldwin and Johnson Turf",Guindy,Close to Railway Station,927,2.9,72,06:00,21:00,Yes,5‑a‑side,"Floodlights, Parking",542.230.8143,13.092022,80.094955,0,5,2022,3273
Robinson Ltd Turf,Porur,Beside Metro Station,717,4.5,36,06:00,20:00,No,Futsal,"Changing Room, Washroom, Canteen",7136609939,13.043159,80.19908,2,6,2022,2070
"Brown, Fletcher and Moore Turf",T Nagar,Close to Railway Station,656,4.5,140,06:00,23:00,No,5‑a‑side,"Washroom, Parking, Floodlights, Canteen",9109796107,13.112542,80.103345,2,2,2022,3190
Terry Inc Turf,Guindy,Near XYZ Mall,344,3.2,45,06:00,21:00,Yes,Futsal,"Washroom, Floodlights, Changing Room",652.516.7195x17436,13.066618,80.180678,0,0,2022,4340
Parrish Inc Turf,Velachery,Next to ABC Park,769,4.7,21,07:00,22:00,Yes,7‑a‑side,"Floodlights, Washroom",556.462.0375x9011,13.022262,80.142148,2,4,2022,1528
Jarvis-Adams Turf,Kilpauk,Opposite Main Bus Stop,316,4.7,47,08:00,21:00,Yes,Futsal,"Parking, Floodlights, Canteen, Washroom",9846933154,13.110152,80.230158,4,1,2022,1002
Cohen-Moore Turf,OMR,Close to Railway Station,691,4.6,52,08:00,21:00,No,5‑a‑side,"Floodlights, Changing Room, Washroom",001-430-704-6322x389,13.18088,80.19679,1,4,2022,4993
Robinson-Williams Turf,Kilpauk,Beside Metro Station,560,3.0,71,05:00,23:00,Yes,5‑a‑side,"Canteen, Washroom",-2643,13.015367,80.006048,1,7,2022,1370
Park Inc Turf,Medavakkam,Beside Metro Station,1098,2.8,97,07:00,23:00,Yes,5‑a‑side,"Parking, Washroom, Changing Room, Canteen",788-904-6759,13.084772,80.136605,0,8,2022,4988
"Potter, Doyle and Castillo Turf",Porur,Beside Metro Station,774,3.9,2,07:00,21:00,Yes,7‑a‑side,"Canteen, Parking",498.728.9731x93852,13.140398,80.146125,3,1,2022,706
Cox-Williamson Turf,Guindy,Beside Metro Station,1139,4.8,132,06:00,22:00,Yes,7‑a‑side,"Floodlights, Washroom, Canteen, Parking",001-971-466-5600,13.175676,80.164105,0,2,2022,1984
Thompson-Brown Turf,OMR,Opposite Main Bus Stop,674,4.9,3,06:00,20:00,Yes,6‑a‑side,"Floodlights, Changing Room, Washroom",+1-460-663-9644x9528,13.091729,80.259421,3,2,2022,1363
Flores Ltd Turf,Mylapore,Next to ABC Park,410,4.9,135,08:00,23:00,No,5‑a‑side,"Parking, Washroom, Changing Room, Floodlights",-1858,13.042923,80.083112,1,0,2022,3290
"Brown, Johnson and Petty Turf",Tambaram,Next to ABC Park,1142,2.9,136,06:00,21:00,Yes,6‑a‑side,"Floodlights, Washroom",(964)759-8067,13.076376,80.093162,0,7,2022,1063
"Hendrix, Rogers and Jennings Turf",Kilpauk,Next to ABC Park,378,4.8,39,06:00,20:00,Yes,7‑a‑side,"Parking, Washroom, Floodlights",001-744-881-2352x070,13.028009,80.266337,4,5,2022,4691
Cooper-Miller Turf,T Nagar,Close to Railway Station,571,2.5,100,08:00,20:00,Yes,6‑a‑side,"Parking, Changing Room, Floodlights",602-724-9966x3555,13.009495,80.297957,2,7,2022,2257
"Carter, Clark and Shepherd Turf",Guindy,Close to Railway Station,658,3.7,13,06:00,20:00,No,5‑a‑side,"Parking, Changing Room",823.322.6804x81747,13.197444,80.137506,3,8,2022,2178
"Delgado, Adams and Stewart Turf",Perungudi,Opposite Main Bus Stop,742,4.7,102,07:00,22:00,No,6‑a‑side,"Changing Room, Canteen, Parking",(290)281-9142x7660,13.049733,80.097571,2,4,2022,3742
Shaw-Garrett Turf,Medavakkam,Near XYZ Mall,1154,4.0,106,08:00,21:00,Yes,6‑a‑side,"Canteen, Parking",692.428.8605,13.182855,80.23575,2,2,2022,1559
"Horn, Lewis and Leonard Turf",Medavakkam,Close to Railway Station,760,4.7,130,05:00,23:00,Yes,7‑a‑side,"Floodlights, Parking",736-770-3348x3583,13.090697,80.09657,0,4,2022,2222
"Scott, Payne and Golden Turf",Tambaram,Beside Metro Station,991,4.9,108,05:00,20:00,Yes,6‑a‑side,"Floodlights, Canteen, Changing Room",+1-576-487-6782x3193,13.135148,80.074927,2,4,2022,3814
Brown-Norton Turf,Pallavaram,Close to Railway Station,538,4.5,47,05:00,21:00,No,Futsal,"Changing Room, Washroom, Parking, Canteen",(274)597-4992,13.062094,80.042435,4,4,2022,3657
Montes LLC Turf,Guindy,Next to ABC Park,344,4.5,8,08:00,23:00,Yes,6‑a‑side,"Washroom, Parking, Canteen, Floodlights",505.891.0641,13.131025,80.093258,2,2,2022,3125
"Solis, Woodard and Wood Turf",Tambaram,Opposite Main Bus Stop,641,2.5,10,08:00,20:00,Yes,Futsal,"Canteen, Washroom, Parking",951.826.4790,13.036711,80.181781,0,9,2022,3229
"Wright, Richards and Johnson Turf",Chromepet,Near XYZ Mall,404,3.5,51,08:00,22:00,No,7‑a‑side,"Changing Room, Parking, Washroom, Canteen",974.644.8134,13.053338,80.136335,4,3,2022,2097
"Williams, Guzman and Brewer Turf",Anna Nagar,Near XYZ Mall,689,3.1,91,05:00,22:00,Yes,5‑a‑side,"Canteen, Changing Room",666-964-8635x9702,13.181344,80.038802,1,8,2022,3560
Parrish LLC Turf,Mylapore,Opposite Main Bus Stop,1059,4.3,114,07:00,20:00,Yes,6‑a‑side,"Washroom, Canteen, Changing Room",511-868-8256x222,13.029541,80.196182,2,9,2022,3193
Simmons PLC Turf,Mylapore,Opposite Main Bus Stop,1055,3.6,28,07:00,21:00,No,6‑a‑side,"Parking, Canteen",(951)728-8727,13.130327,80.154445,0,8,2022,4127
Schwartz-Rivera Turf,Chromepet,Next to ABC Park,619,3.7,107,08:00,22:00,No,Futsal,"Floodlights, Canteen",942.383.8741x27304,13.08853,80.195043,1,1,2022,1863
"Martinez, Shaffer and Collins Turf",Velachery,Opposite Main Bus Stop,337,4.0,103,07:00,22:00,Yes,Futsal,"Floodlights, Canteen, Parking",2767031224,13.023318,80.031758,1,7,2022,2481
"Heath, Williams and Hernandez Turf",Guindy,Opposite Main Bus Stop,1045,2.7,115,08:00,23:00,Yes,Futsal,"Changing Room, Parking, Canteen",+1-623-844-5668x543,13.165488,80.255003,3,7,2022,2163
Chapman-Cox Turf,Perungudi,Next to ABC Park,413,3.2,69,05:00,22:00,Yes,5‑a‑side,"Changing Room, Canteen, Parking",837-292-0504x400,13.093742,80.120983,4,6,2022,2029
Jones-Bates Turf,Velachery,Close to Railway Station,910,2.9,125,07:00,21:00,No,7‑a‑side,"Parking, Washroom, Canteen",001-571-927-1727x05512,13.193167,80.070164,2,7,2022,2538
"Walton, King and Meyer Turf",Kodambakkam,Near XYZ Mall,551,4.2,7,05:00,21:00,No,Futsal,"Floodlights, Changing Room, Parking",667-597-3501x646,13.016039,80.000255,0,2,2022,3802
"Lopez, Johnson and Smith Turf",T Nagar,Beside Metro Station,1181,4.2,0,05:00,21:00,Yes,Futsal,"Floodlights, Parking",711-728-0730x09257,13.055098,80.232964,3,5,2022,2737
"Morgan, Frank and Mack Turf",Adyar,Next to ABC Park,317,3.1,136,08:00,23:00,Yes,6‑a‑side,"Parking, Canteen",(989)685-4243x454,13.085832,80.138928,4,0,2022,1806
Myers and Sons Turf,Pallavaram,Opposite Main Bus Stop,948,2.7,35,06:00,23:00,Yes,5‑a‑side,"Washroom, Floodlights, Canteen",-8508,13.131789,80.086793,3,6,2022,4529
Duran-Smith Turf,Pallavaram,Close to Railway Station,805,4.1,23,05:00,22:00,Yes,Futsal,"Floodlights, Canteen, Washroom, Changing Room",(638)806-5048x8713,13.084175,80.229084,4,0,2022,3175
Griffin Inc Turf,Perungudi,Next to ABC Park,698,4.4,82,07:00,20:00,No,6‑a‑side,"Parking, Floodlights, Washroom, Changing Room",(719)695-1060,13.0719,80.280898,4,8,2022,1782
"Woods, Daniels and Wright Turf",Medavakkam,Beside Metro Station,574,4.5,150,07:00,22:00,Yes,6‑a‑side,"Floodlights, Parking",347.988.0381x70334,13.151685,80.273374,2,0,2022,1209
Patterson Inc Turf,Perungudi,Next to ABC Park,489,3.6,84,05:00,22:00,Yes,Futsal,"Parking, Changing Room, Canteen, Floodlights",(747)785-9850x049,13.130845,80.228507,4,0,2022,4913
"Little, Marshall and Byrd Turf",Medavakkam,Beside Metro Station,725,3.0,125,05:00,22:00,No,6‑a‑side,"Parking, Canteen, Washroom",(829)334-0919x08754,13.010632,80.120442,3,6,2022,4248
Shields-Green Turf,OMR,Opposite Main Bus Stop,622,3.9,37,08:00,20:00,Yes,5‑a‑side,"Parking, Floodlights",611.703.5260x28672,13.191916,80.003191,4,1,2022,1163
"Garner, Stone and Brown Turf",Pallavaram,Opposite Main Bus Stop,696,3.8,133,06:00,22:00,No,7‑a‑side,"Washroom, Canteen, Parking, Floodlights",(892)876-9058,13.032089,80.097037,2,4,2022,2498
